Running ./cmake-build-release/bin/multiple_intersections
Run on (8 X 4827.41 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 0.65, 0.65, 0.50
--------------------------------------------------------------------------------------
Benchmark                                            Time             CPU   Iterations
--------------------------------------------------------------------------------------
BM_using_ranges_set_intersection/2/8              53.6 ns         53.6 ns     24915243
BM_using_ranges_set_intersection/3/8              48.4 ns         48.4 ns     11055408
BM_using_ranges_set_intersection/4/8              84.2 ns         84.2 ns     10000000
BM_using_ranges_set_intersection/5/8              57.5 ns         57.5 ns     17915376
BM_using_ranges_set_intersection/6/8              90.4 ns         90.4 ns      7005396
BM_using_ranges_set_intersection/7/8               103 ns          103 ns      8362554
BM_using_ranges_set_intersection/2/64              131 ns          131 ns      5347543
BM_using_ranges_set_intersection/3/64              220 ns          220 ns      4467307
BM_using_ranges_set_intersection/4/64              195 ns          195 ns      4288634
BM_using_ranges_set_intersection/5/64              275 ns          275 ns      2395029
BM_using_ranges_set_intersection/6/64              293 ns          293 ns      2955155
BM_using_ranges_set_intersection/7/64              360 ns          360 ns      2295357
BM_using_ranges_set_intersection/2/512             675 ns          675 ns      1047011
BM_using_ranges_set_intersection/3/512            1036 ns         1036 ns       670616
BM_using_ranges_set_intersection/4/512            1217 ns         1217 ns       517593
BM_using_ranges_set_intersection/5/512            1670 ns         1670 ns       535837
BM_using_ranges_set_intersection/6/512            1764 ns         1764 ns       348799
BM_using_ranges_set_intersection/7/512            2138 ns         2138 ns       315236
BM_using_ranges_set_intersection/2/4096          20264 ns        20263 ns        35126
BM_using_ranges_set_intersection/3/4096          27638 ns        27637 ns        25925
BM_using_ranges_set_intersection/4/4096          32218 ns        32217 ns        21922
BM_using_ranges_set_intersection/5/4096          36679 ns        36679 ns        18816
BM_using_ranges_set_intersection/6/4096          40719 ns        40719 ns        17447
BM_using_ranges_set_intersection/7/4096          45670 ns        45669 ns        15593
BM_using_ranges_set_intersection/2/32768        200397 ns       200392 ns         3481
BM_using_ranges_set_intersection/3/32768        246794 ns       246785 ns         2840
BM_using_ranges_set_intersection/4/32768        278986 ns       278981 ns         2500
BM_using_ranges_set_intersection/5/32768        307688 ns       307681 ns         2261
BM_using_ranges_set_intersection/6/32768        336747 ns       336742 ns         2076
