Comparing BM_using_ranges_set_intersection to BM_using_set_intersection_in_place (from ../../multiple_intersections/cmake-build-release/bin/multiple_intersections)
Benchmark                                                                                            Time             CPU      Time Old      Time New       CPU Old       CPU New
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/2/8                     -0.3215         -0.3227            38            26            38            26
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/3/8                     -0.5795         -0.5802            88            37            88            37
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/4/8                     -0.3963         -0.3974            67            41            67            41
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/5/8                     -0.2904         -0.2916            56            40            56            40
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/6/8                     -0.5982         -0.5989           117            47           117            47
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/7/8                     -0.5556         -0.5564           128            57           128            57
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/2/64                    -0.2208         -0.2221           114            89           114            89
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/3/64                    -0.2689         -0.2701           181           132           181           132
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/4/64                    -0.2138         -0.2151           203           160           203           159
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/5/64                    -0.4908         -0.4917           326           166           326           166
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/6/64                    -0.2183         -0.2195           247           193           247           193
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/7/64                    -0.1944         -0.1957           274           221           274           220
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/2/512                   +0.0235         +0.0216           638           653           638           651
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/3/512                   -0.0930         -0.0946           990           898           990           896
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/4/512                   -0.0332         -0.0350          1300          1257          1300          1255
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/5/512                   -0.1623         -0.1637          1716          1437          1716          1435
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/6/512                   -0.1074         -0.1089          1877          1675          1877          1672
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/7/512                   -0.0198         -0.0216          1928          1890          1928          1886
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/2/4096                  -0.0980         -0.0995         20038         18074         20037         18044
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/3/4096                  -0.1323         -0.1338         27222         23620         27221         23580
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/4/4096                  -0.1314         -0.1330         31610         27455         31608         27404
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/5/4096                  -0.1042         -0.1058         35339         31655         35338         31600
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/6/4096                  -0.1347         -0.1363         39008         33752         39007         33692
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/7/4096                  -0.1304         -0.1319         44198         38434         44197         38367
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/2/32768                 -0.0343         -0.0360        197130        190375        197126        190032
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/3/32768                 -0.0412         -0.0427        249277        239004        249247        238599
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/4/32768                 -0.0118         -0.0135        274860        271619        274843        271143
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/5/32768                 -0.0152         -0.0170        304551        299924        304529        299355
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/6/32768                 -0.0137         -0.0156        332767        328202        332758        327580
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/7/32768                 -0.0256         -0.0274        365029        355678        365020        355033
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/2/262144                -0.0185         -0.0204       1629153       1598961       1629113       1595903
[BM_using_ranges_set_intersection vs. BM_using_set_intersection_in_place]/3/262144                +0.0038         +0.0018       1994639       2002139       1994535       1998169
